_id,CI,term,data,timestamp,Transaction ID,Time in DB,Node,activity,Quality Control ID
{'$oid': '5efddd4051e8dd0476c7ba2e'},2.0,1.0,{'d1': 9},1593695552.0490737,2b2620d1ddc8732877d288a6756c41d8fae145efe60b12f1ec5994faf2a33e7e,1593695552.05103,Node 3,Transaction initiated,
{'$oid': '5efddd4051e8dd0476c7ba30'},2.0,1.0,{'d1': 9},1593695552.0490737,2b2620d1ddc8732877d288a6756c41d8fae145efe60b12f1ec5994faf2a33e7e,1593695552.5071766,Node 3,Transaction in validated,
{'$oid': '5efddd401e1cbe7743a7bc4a'},2.0,1.0,{'d1': 9},1593695552.0490737,2b2620d1ddc8732877d288a6756c41d8fae145efe60b12f1ec5994faf2a33e7e,1593695552.5162654,Node 4,Transaction received,
{'$oid': '5efddd403c235f2ed75c5898'},2.0,1.0,{'d1': 9},1593695552.0490737,2b2620d1ddc8732877d288a6756c41d8fae145efe60b12f1ec5994faf2a33e7e,1593695552.5295227,Node 2,Transaction received,
{'$oid': '5efddd4063d4838eea7e281f'},2.0,1.0,{'d1': 9},1593695552.0490737,2b2620d1ddc8732877d288a6756c41d8fae145efe60b12f1ec5994faf2a33e7e,1593695552.53935,Node 5,Transaction received,
{'$oid': '5efddd402dc51507b0e11da7'},2.0,1.0,{'d1': 9},1593695552.0490737,2b2620d1ddc8732877d288a6756c41d8fae145efe60b12f1ec5994faf2a33e7e,1593695552.5495472,Node 1,Transaction received,
{'$oid': '5efddd402dc51507b0e11da9'},,,,,2b2620d1ddc8732877d288a6756c41d8fae145efe60b12f1ec5994faf2a33e7e,1593695552.5634027,Node 1,Transaction validated (without qc),2_1
{'$oid': '5efddd4063d4838eea7e2821'},,,,,2b2620d1ddc8732877d288a6756c41d8fae145efe60b12f1ec5994faf2a33e7e,1593695552.582113,Node 5,Transaction validated (without qc),2_1
{'$oid': '5efddd403c235f2ed75c589a'},,,,,2b2620d1ddc8732877d288a6756c41d8fae145efe60b12f1ec5994faf2a33e7e,1593695552.601461,Node 2,Transaction validated (without qc),2_1
{'$oid': '5efddd401e1cbe7743a7bc4c'},,,,,2b2620d1ddc8732877d288a6756c41d8fae145efe60b12f1ec5994faf2a33e7e,1593695552.6078014,Node 4,Transaction validated (without qc),2_1
{'$oid': '5efddd4051e8dd0476c7ba32'},,,,,2b2620d1ddc8732877d288a6756c41d8fae145efe60b12f1ec5994faf2a33e7e,1593695552.620063,Node 3,Transaction validated (without qc),2_1
{'$oid': '5efddd4063d4838eea7e2823'},8.0,1.0,{'d1': 22},1593695552.628673,50d985ed85fe354970db4e1022c0528d25dfd3bc72f2cf1cede2238fdacba33e,1593695552.6302905,Node 5,Transaction initiated,
{'$oid': '5efddd4063d4838eea7e2825'},8.0,1.0,{'d1': 22},1593695552.628673,50d985ed85fe354970db4e1022c0528d25dfd3bc72f2cf1cede2238fdacba33e,1593695552.6345031,Node 5,Transaction in validated,
