_id,CI,term,data,timestamp,Transaction ID,Time in DB,Node,activity,Quality Control ID
{'$oid': '5efdd76770523f5ed9e2d451'},2.0,1.0,{'d1': 9},1593694055.4256258,46ae5d647d8e98e11b1d03735364337dca6a7a6738ce38a706cc09dda324a59e,1593694055.427764,Node 5,Transaction initiated,
{'$oid': '5efdd76770523f5ed9e2d453'},2.0,1.0,{'d1': 9},1593694055.4256258,46ae5d647d8e98e11b1d03735364337dca6a7a6738ce38a706cc09dda324a59e,1593694055.4473014,Node 5,Transaction in validated,
{'$oid': '5efdd7678b2000f7267dca0b'},2.0,1.0,{'d1': 9},1593694055.4256258,46ae5d647d8e98e11b1d03735364337dca6a7a6738ce38a706cc09dda324a59e,1593694055.4589572,Node 2,Transaction received,
{'$oid': '5efdd767804f61c434646348'},2.0,1.0,{'d1': 9},1593694055.4256258,46ae5d647d8e98e11b1d03735364337dca6a7a6738ce38a706cc09dda324a59e,1593694055.4684856,Node 4,Transaction received,
{'$oid': '5efdd767c3f168d105e3cf86'},2.0,1.0,{'d1': 9},1593694055.4256258,46ae5d647d8e98e11b1d03735364337dca6a7a6738ce38a706cc09dda324a59e,1593694055.4819372,Node 3,Transaction received,
{'$oid': '5efdd767c3f168d105e3cf88'},,,,,46ae5d647d8e98e11b1d03735364337dca6a7a6738ce38a706cc09dda324a59e,1593694055.4948277,Node 3,Transaction validated (without qc),2_1
{'$oid': '5efdd767804f61c43464634a'},,,,,46ae5d647d8e98e11b1d03735364337dca6a7a6738ce38a706cc09dda324a59e,1593694055.501291,Node 4,Transaction validated (without qc),2_1
{'$oid': '5efdd7677358764065c432e7'},2.0,1.0,{'d1': 9},1593694055.4256258,46ae5d647d8e98e11b1d03735364337dca6a7a6738ce38a706cc09dda324a59e,1593694055.51015,Node 1,Transaction received,
{'$oid': '5efdd7677358764065c432e9'},,,,,46ae5d647d8e98e11b1d03735364337dca6a7a6738ce38a706cc09dda324a59e,1593694055.5267677,Node 1,Transaction validated (without qc),2_1
{'$oid': '5efdd7678b2000f7267dca0d'},,,,,46ae5d647d8e98e11b1d03735364337dca6a7a6738ce38a706cc09dda324a59e,1593694055.534351,Node 2,Transaction validated (without qc),2_1
{'$oid': '5efdd76770523f5ed9e2d455'},,,,,46ae5d647d8e98e11b1d03735364337dca6a7a6738ce38a706cc09dda324a59e,1593694055.5487657,Node 5,Transaction validated (without qc),2_1
{'$oid': '5efdd767804f61c43464634c'},1.0,1.0,{'d1': 3},1593694055.557237,d99d8d2d903949bd5dd50c14978318669ed6ac641d4ef8c3e7a36a5984a52a2f,1593694055.559044,Node 4,Transaction initiated,
{'$oid': '5efdd767804f61c43464634e'},1.0,1.0,{'d1': 3},1593694055.557237,d99d8d2d903949bd5dd50c14978318669ed6ac641d4ef8c3e7a36a5984a52a2f,1593694055.563443,Node 4,Transaction in validated,
