_id,CI,term,data,timestamp,Transaction ID,Time in DB,Node,activity,Quality Control ID
{'$oid': '5efe82493dec3a8215b32b49'},1.0,1.0,{'d2': 7},1593737801.9469125,d449a26b9bfe749aa419a333db49c586d41160953be39da7e20a6cbe5299e995,1593737801.9488807,Node 1,Transaction initiated,
{'$oid': '5efe82493dec3a8215b32b4b'},1.0,1.0,{'d2': 7},1593737801.9469125,d449a26b9bfe749aa419a333db49c586d41160953be39da7e20a6cbe5299e995,1593737801.961302,Node 1,Transaction in validated,
{'$oid': '5efe8249255ede70f4ba95c5'},1.0,1.0,{'d2': 7},1593737801.9469125,d449a26b9bfe749aa419a333db49c586d41160953be39da7e20a6cbe5299e995,1593737801.9688835,Node 5,Transaction received,
{'$oid': '5efe82497e4bb66771c9ea7e'},1.0,1.0,{'d2': 7},1593737801.9469125,d449a26b9bfe749aa419a333db49c586d41160953be39da7e20a6cbe5299e995,1593737801.977893,Node 3,Transaction received,
{'$oid': '5efe8249d9c7c90ffe6f21c2'},1.0,1.0,{'d2': 7},1593737801.9469125,d449a26b9bfe749aa419a333db49c586d41160953be39da7e20a6cbe5299e995,1593737801.9857664,Node 4,Transaction received,
{'$oid': '5efe8249194936a569d88ceb'},1.0,1.0,{'d2': 7},1593737801.9469125,d449a26b9bfe749aa419a333db49c586d41160953be39da7e20a6cbe5299e995,1593737801.9972746,Node 2,Transaction received,
{'$oid': '5efe824a194936a569d88ced'},,,,,d449a26b9bfe749aa419a333db49c586d41160953be39da7e20a6cbe5299e995,1593737802.0150166,Node 2,Opening quality control,1_1
{'$oid': '5efe824a194936a569d88cef'},,,,,d449a26b9bfe749aa419a333db49c586d41160953be39da7e20a6cbe5299e995,1593737802.0192313,Node 2,Filling quality control,1_1
{'$oid': '5efe824ad9c7c90ffe6f21c4'},,,,,d449a26b9bfe749aa419a333db49c586d41160953be39da7e20a6cbe5299e995,1593737802.0248754,Node 4,Opening quality control,1_1
{'$oid': '5efe824ad9c7c90ffe6f21c6'},,,,,d449a26b9bfe749aa419a333db49c586d41160953be39da7e20a6cbe5299e995,1593737802.0286844,Node 4,Filling quality control,1_1
