_id,CI,term,data,timestamp,Transaction ID,Time in DB,Node,activity,Quality Control ID
{'$oid': '5efe842716136011afb6f177'},1.0,1.0,{'d9': 13},1593738279.7754111,bda6306db8c67160eb951e6ee2660215da43179449284baed69a8c27b4b0e828,1593738279.777169,Node 19,Transaction initiated,
{'$oid': '5efe842716136011afb6f179'},1.0,1.0,{'d9': 13},1593738279.7754111,bda6306db8c67160eb951e6ee2660215da43179449284baed69a8c27b4b0e828,1593738279.799924,Node 19,Transaction in validated,
{'$oid': '5efe8427eff97505e893ecfd'},1.0,1.0,{'d9': 13},1593738279.7754111,bda6306db8c67160eb951e6ee2660215da43179449284baed69a8c27b4b0e828,1593738279.810481,Node 6,Transaction received,
{'$oid': '5efe84279a29ae1efb877108'},1.0,1.0,{'d9': 13},1593738279.7754111,bda6306db8c67160eb951e6ee2660215da43179449284baed69a8c27b4b0e828,1593738279.8194525,Node 12,Transaction received,
{'$oid': '5efe842700bc869423aa626c'},1.0,1.0,{'d9': 13},1593738279.7754111,bda6306db8c67160eb951e6ee2660215da43179449284baed69a8c27b4b0e828,1593738279.8257384,Node 20,Transaction received,
{'$oid': '5efe8427488a57c622f549ba'},1.0,1.0,{'d9': 13},1593738279.7754111,bda6306db8c67160eb951e6ee2660215da43179449284baed69a8c27b4b0e828,1593738279.8344977,Node 5,Transaction received,
{'$oid': '5efe8427f3216d32e838d0df'},1.0,1.0,{'d9': 13},1593738279.7754111,bda6306db8c67160eb951e6ee2660215da43179449284baed69a8c27b4b0e828,1593738279.8436813,Node 4,Transaction received,
{'$oid': '5efe842712402f61546e9f5b'},1.0,1.0,{'d9': 13},1593738279.7754111,bda6306db8c67160eb951e6ee2660215da43179449284baed69a8c27b4b0e828,1593738279.8496788,Node 10,Transaction received,
{'$oid': '5efe8427d4f77af55fd2b402'},1.0,1.0,{'d9': 13},1593738279.7754111,bda6306db8c67160eb951e6ee2660215da43179449284baed69a8c27b4b0e828,1593738279.8573425,Node 11,Transaction received,
{'$oid': '5efe84276c6b8224acc3efaf'},1.0,1.0,{'d9': 13},1593738279.7754111,bda6306db8c67160eb951e6ee2660215da43179449284baed69a8c27b4b0e828,1593738279.8665009,Node 7,Transaction received,
{'$oid': '5efe842762bf78ebfa697bc7'},1.0,1.0,{'d9': 13},1593738279.7754111,bda6306db8c67160eb951e6ee2660215da43179449284baed69a8c27b4b0e828,1593738279.8864005,Node 17,Transaction received,
{'$oid': '5efe8427dbbccf4ef660f816'},1.0,1.0,{'d9': 13},1593738279.7754111,bda6306db8c67160eb951e6ee2660215da43179449284baed69a8c27b4b0e828,1593738279.9086847,Node 2,Transaction received,
{'$oid': '5efe8427fe98b8a3de123580'},1.0,1.0,{'d9': 13},1593738279.7754111,bda6306db8c67160eb951e6ee2660215da43179449284baed69a8c27b4b0e828,1593738279.9174974,Node 14,Transaction received,
{'$oid': '5efe84272aa845dc0fec426a'},1.0,1.0,{'d9': 13},1593738279.7754111,bda6306db8c67160eb951e6ee2660215da43179449284baed69a8c27b4b0e828,1593738279.9293442,Node 16,Transaction received,
{'$oid': '5efe8427e264dc3516efc204'},1.0,1.0,{'d9': 13},1593738279.7754111,bda6306db8c67160eb951e6ee2660215da43179449284baed69a8c27b4b0e828,1593738279.9373074,Node 18,Transaction received,
{'$oid': '5efe842720b0ab9d4fc44f2b'},1.0,1.0,{'d9': 13},1593738279.7754111,bda6306db8c67160eb951e6ee2660215da43179449284baed69a8c27b4b0e828,1593738279.953117,Node 1,Transaction received,
{'$oid': '5efe84273d2e2c6fa04038a6'},1.0,1.0,{'d9': 13},1593738279.7754111,bda6306db8c67160eb951e6ee2660215da43179449284baed69a8c27b4b0e828,1593738279.963973,Node 15,Transaction received,
{'$oid': '5efe842875ff107abb38e4ff'},1.0,1.0,{'d9': 13},1593738279.7754111,bda6306db8c67160eb951e6ee2660215da43179449284baed69a8c27b4b0e828,1593738280.0028296,Node 3,Transaction received,
{'$oid': '5efe8428d4257d2eea10258a'},1.0,1.0,{'d9': 13},1593738279.7754111,bda6306db8c67160eb951e6ee2660215da43179449284baed69a8c27b4b0e828,1593738280.0290504,Node 13,Transaction received,
{'$oid': '5efe8428d4257d2eea10258c'},,,,,bda6306db8c67160eb951e6ee2660215da43179449284baed69a8c27b4b0e828,1593738280.0629785,Node 13,Opening quality control,1_1
{'$oid': '5efe8428d4257d2eea10258e'},,,,,bda6306db8c67160eb951e6ee2660215da43179449284baed69a8c27b4b0e828,1593738280.0673022,Node 13,Filling quality control,1_1
