_id,CI,term,data,timestamp,Transaction ID,Time in DB,Node,activity,Quality Control ID
{'$oid': '5efddc74536bc9c218c29f8e'},2.0,1.0,{'d1': 9},1593695348.4104643,843c6eb39dcf7837f7ad1d434c9523a4bf294341f515323fac544a561e0c7cb4,1593695348.4124506,Node 3,Transaction initiated,
{'$oid': '5efddc74536bc9c218c29f90'},2.0,1.0,{'d1': 9},1593695348.4104643,843c6eb39dcf7837f7ad1d434c9523a4bf294341f515323fac544a561e0c7cb4,1593695348.4412773,Node 3,Transaction in validated,
{'$oid': '5efddc74928a361ff2388efc'},2.0,1.0,{'d1': 9},1593695348.4104643,843c6eb39dcf7837f7ad1d434c9523a4bf294341f515323fac544a561e0c7cb4,1593695348.4507532,Node 4,Transaction received,
{'$oid': '5efddc74835be67bbe2d368c'},2.0,1.0,{'d1': 9},1593695348.4104643,843c6eb39dcf7837f7ad1d434c9523a4bf294341f515323fac544a561e0c7cb4,1593695348.4650838,Node 2,Transaction received,
{'$oid': '5efddc74fb8ce63099ddfd3f'},2.0,1.0,{'d1': 9},1593695348.4104643,843c6eb39dcf7837f7ad1d434c9523a4bf294341f515323fac544a561e0c7cb4,1593695348.474619,Node 5,Transaction received,
{'$oid': '5efddc74d10805e4ca260bac'},2.0,1.0,{'d1': 9},1593695348.4104643,843c6eb39dcf7837f7ad1d434c9523a4bf294341f515323fac544a561e0c7cb4,1593695348.4916096,Node 1,Transaction received,
{'$oid': '5efddc74d10805e4ca260bae'},,,,,843c6eb39dcf7837f7ad1d434c9523a4bf294341f515323fac544a561e0c7cb4,1593695348.5063384,Node 1,Opening quality control,2_1
{'$oid': '5efddc74d10805e4ca260bb0'},,,,,843c6eb39dcf7837f7ad1d434c9523a4bf294341f515323fac544a561e0c7cb4,1593695348.5101748,Node 1,Filling quality control,2_1
{'$oid': '5efddc74fb8ce63099ddfd41'},,,,,843c6eb39dcf7837f7ad1d434c9523a4bf294341f515323fac544a561e0c7cb4,1593695348.5166311,Node 5,Opening quality control,2_1
{'$oid': '5efddc74fb8ce63099ddfd43'},,,,,843c6eb39dcf7837f7ad1d434c9523a4bf294341f515323fac544a561e0c7cb4,1593695348.520373,Node 5,Filling quality control,2_1
{'$oid': '5efddc74835be67bbe2d368e'},,,,,843c6eb39dcf7837f7ad1d434c9523a4bf294341f515323fac544a561e0c7cb4,1593695348.5396726,Node 2,Opening quality control,2_1
{'$oid': '5efddc74835be67bbe2d3690'},,,,,843c6eb39dcf7837f7ad1d434c9523a4bf294341f515323fac544a561e0c7cb4,1593695348.5423927,Node 2,Filling quality control,2_1
{'$oid': '5efddc74928a361ff2388efe'},,,,,843c6eb39dcf7837f7ad1d434c9523a4bf294341f515323fac544a561e0c7cb4,1593695348.547455,Node 4,Opening quality control,2_1
{'$oid': '5efddc74928a361ff2388f00'},,,,,843c6eb39dcf7837f7ad1d434c9523a4bf294341f515323fac544a561e0c7cb4,1593695348.5512626,Node 4,Filling quality control,2_1
{'$oid': '5efddc74536bc9c218c29f92'},,,,,843c6eb39dcf7837f7ad1d434c9523a4bf294341f515323fac544a561e0c7cb4,1593695348.561994,Node 3,Opening quality control,2_1
{'$oid': '5efddc74536bc9c218c29f94'},,,,,843c6eb39dcf7837f7ad1d434c9523a4bf294341f515323fac544a561e0c7cb4,1593695348.564634,Node 3,Filling quality control,2_1
{'$oid': '5efddc74fb8ce63099ddfd45'},8.0,1.0,{'d1': 22},1593695348.5730796,89dd30eea45b6091e4bf3e0b91534218d2d38e4d4a5345caea45d7877f1edd0e,1593695348.5742104,Node 5,Transaction initiated,
{'$oid': '5efddc74fb8ce63099ddfd47'},8.0,1.0,{'d1': 22},1593695348.5730796,89dd30eea45b6091e4bf3e0b91534218d2d38e4d4a5345caea45d7877f1edd0e,1593695348.5772324,Node 5,Transaction in validated,
{'$oid': '5efddc74835be67bbe2d3692'},8.0,1.0,{'d1': 22},1593695348.5730796,89dd30eea45b6091e4bf3e0b91534218d2d38e4d4a5345caea45d7877f1edd0e,1593695348.5852766,Node 2,Transaction received,
{'$oid': '5efddc74928a361ff2388f02'},8.0,1.0,{'d1': 22},1593695348.5730796,89dd30eea45b6091e4bf3e0b91534218d2d38e4d4a5345caea45d7877f1edd0e,1593695348.599554,Node 4,Transaction received,
{'$oid': '5efddc74536bc9c218c29f96'},8.0,1.0,{'d1': 22},1593695348.5730796,89dd30eea45b6091e4bf3e0b91534218d2d38e4d4a5345caea45d7877f1edd0e,1593695348.607887,Node 3,Transaction received,
{'$oid': '5efddc74536bc9c218c29f98'},,,,,89dd30eea45b6091e4bf3e0b91534218d2d38e4d4a5345caea45d7877f1edd0e,1593695348.6238194,Node 3,Opening quality control,8_1
{'$oid': '5efddc74536bc9c218c29f9a'},,,,,89dd30eea45b6091e4bf3e0b91534218d2d38e4d4a5345caea45d7877f1edd0e,1593695348.6273491,Node 3,Filling quality control,8_1
{'$oid': '5efddc74928a361ff2388f04'},,,,,89dd30eea45b6091e4bf3e0b91534218d2d38e4d4a5345caea45d7877f1edd0e,1593695348.6351395,Node 4,Opening quality control,8_1
{'$oid': '5efddc74928a361ff2388f06'},,,,,89dd30eea45b6091e4bf3e0b91534218d2d38e4d4a5345caea45d7877f1edd0e,1593695348.6380465,Node 4,Filling quality control,8_1
{'$oid': '5efddc74d10805e4ca260bb2'},8.0,1.0,{'d1': 22},1593695348.5730796,89dd30eea45b6091e4bf3e0b91534218d2d38e4d4a5345caea45d7877f1edd0e,1593695348.6465151,Node 1,Transaction received,
