_id,CI,term,data,timestamp,Transaction ID,Time in DB,Node,activity,Quality Control ID
{'$oid': '5efdd4e751b80cdcbe2834ee'},2.0,1.0,{'d1': 9},1593693415.4929717,91a88fc45d9d812cd412e781818d35c0272036cd25582b583ac222f2120d0b21,1593693415.4951758,Node 5,Transaction initiated,
{'$oid': '5efdd4e751b80cdcbe2834f0'},2.0,1.0,{'d1': 9},1593693415.4929717,91a88fc45d9d812cd412e781818d35c0272036cd25582b583ac222f2120d0b21,1593693415.5112963,Node 5,Transaction in validated,
{'$oid': '5efdd4e712c3abb5eb9094f1'},2.0,1.0,{'d1': 9},1593693415.4929717,91a88fc45d9d812cd412e781818d35c0272036cd25582b583ac222f2120d0b21,1593693415.520552,Node 3,Transaction received,
{'$oid': '5efdd4e7adedbcdd08c6de59'},2.0,1.0,{'d1': 9},1593693415.4929717,91a88fc45d9d812cd412e781818d35c0272036cd25582b583ac222f2120d0b21,1593693415.5334146,Node 4,Transaction received,
{'$oid': '5efdd4e7c264d562f26d8941'},2.0,1.0,{'d1': 9},1593693415.4929717,91a88fc45d9d812cd412e781818d35c0272036cd25582b583ac222f2120d0b21,1593693415.5431073,Node 2,Transaction received,
{'$oid': '5efdd4e7ef2a2eca78b8eceb'},2.0,1.0,{'d1': 9},1593693415.4929717,91a88fc45d9d812cd412e781818d35c0272036cd25582b583ac222f2120d0b21,1593693415.5530658,Node 1,Transaction received,
{'$oid': '5efdd4e7ef2a2eca78b8eced'},,,,,91a88fc45d9d812cd412e781818d35c0272036cd25582b583ac222f2120d0b21,1593693415.5655391,Node 1,Opening quality control,2_1
{'$oid': '5efdd4e7ef2a2eca78b8ecef'},,,,,91a88fc45d9d812cd412e781818d35c0272036cd25582b583ac222f2120d0b21,1593693415.568575,Node 1,Filling quality control,2_1
{'$oid': '5efdd4e7c264d562f26d8943'},,,,,91a88fc45d9d812cd412e781818d35c0272036cd25582b583ac222f2120d0b21,1593693415.5847795,Node 2,Opening quality control,2_1
{'$oid': '5efdd4e7c264d562f26d8945'},,,,,91a88fc45d9d812cd412e781818d35c0272036cd25582b583ac222f2120d0b21,1593693415.5887554,Node 2,Filling quality control,2_1
{'$oid': '5efdd4e7adedbcdd08c6de5b'},,,,,91a88fc45d9d812cd412e781818d35c0272036cd25582b583ac222f2120d0b21,1593693415.5983808,Node 4,Opening quality control,2_1
{'$oid': '5efdd4e7adedbcdd08c6de5d'},,,,,91a88fc45d9d812cd412e781818d35c0272036cd25582b583ac222f2120d0b21,1593693415.6021163,Node 4,Filling quality control,2_1
{'$oid': '5efdd4e712c3abb5eb9094f3'},,,,,91a88fc45d9d812cd412e781818d35c0272036cd25582b583ac222f2120d0b21,1593693415.6081944,Node 3,Opening quality control,2_1
{'$oid': '5efdd4e712c3abb5eb9094f5'},,,,,91a88fc45d9d812cd412e781818d35c0272036cd25582b583ac222f2120d0b21,1593693415.6113887,Node 3,Filling quality control,2_1
{'$oid': '5efdd4e751b80cdcbe2834f2'},,,,,91a88fc45d9d812cd412e781818d35c0272036cd25582b583ac222f2120d0b21,1593693415.6285655,Node 5,Opening quality control,2_1
{'$oid': '5efdd4e751b80cdcbe2834f4'},,,,,91a88fc45d9d812cd412e781818d35c0272036cd25582b583ac222f2120d0b21,1593693415.6327877,Node 5,Filling quality control,2_1
{'$oid': '5efdd4e7adedbcdd08c6de5f'},1.0,1.0,{'d1': 3},1593693415.6417897,1ac8482ff3585084c08b7d9a202950f67faacb91582c45bc5664a5a0af660447,1593693415.6436987,Node 4,Transaction initiated,
{'$oid': '5efdd4e7adedbcdd08c6de61'},1.0,1.0,{'d1': 3},1593693415.6417897,1ac8482ff3585084c08b7d9a202950f67faacb91582c45bc5664a5a0af660447,1593693415.6487625,Node 4,Transaction in validated,
{'$oid': '5efdd4e7c264d562f26d8947'},1.0,1.0,{'d1': 3},1593693415.6417897,1ac8482ff3585084c08b7d9a202950f67faacb91582c45bc5664a5a0af660447,1593693415.6569448,Node 2,Transaction received,
{'$oid': '5efdd4e7ef2a2eca78b8ecf1'},1.0,1.0,{'d1': 3},1593693415.6417897,1ac8482ff3585084c08b7d9a202950f67faacb91582c45bc5664a5a0af660447,1593693415.662754,Node 1,Transaction received,
{'$oid': '5efdd4e751b80cdcbe2834f6'},1.0,1.0,{'d1': 3},1593693415.6417897,1ac8482ff3585084c08b7d9a202950f67faacb91582c45bc5664a5a0af660447,1593693415.6724575,Node 5,Transaction received,
{'$oid': '5efdd4e712c3abb5eb9094f7'},1.0,1.0,{'d1': 3},1593693415.6417897,1ac8482ff3585084c08b7d9a202950f67faacb91582c45bc5664a5a0af660447,1593693415.6800914,Node 3,Transaction received,
{'$oid': '5efdd4e712c3abb5eb9094f9'},,,,,1ac8482ff3585084c08b7d9a202950f67faacb91582c45bc5664a5a0af660447,1593693415.6955512,Node 3,Opening quality control,1_1
{'$oid': '5efdd4e712c3abb5eb9094fb'},,,,,1ac8482ff3585084c08b7d9a202950f67faacb91582c45bc5664a5a0af660447,1593693415.6995292,Node 3,Filling quality control,1_1
{'$oid': '5efdd4e751b80cdcbe2834f8'},,,,,1ac8482ff3585084c08b7d9a202950f67faacb91582c45bc5664a5a0af660447,1593693415.714691,Node 5,Opening quality control,1_1
{'$oid': '5efdd4e751b80cdcbe2834fa'},,,,,1ac8482ff3585084c08b7d9a202950f67faacb91582c45bc5664a5a0af660447,1593693415.7188747,Node 5,Filling quality control,1_1
{'$oid': '5efdd4e7ef2a2eca78b8ecf3'},,,,,1ac8482ff3585084c08b7d9a202950f67faacb91582c45bc5664a5a0af660447,1593693415.727031,Node 1,Opening quality control,1_1
{'$oid': '5efdd4e7ef2a2eca78b8ecf5'},,,,,1ac8482ff3585084c08b7d9a202950f67faacb91582c45bc5664a5a0af660447,1593693415.7303727,Node 1,Filling quality control,1_1
{'$oid': '5efdd4e7c264d562f26d8949'},,,,,1ac8482ff3585084c08b7d9a202950f67faacb91582c45bc5664a5a0af660447,1593693415.7460675,Node 2,Opening quality control,1_1
{'$oid': '5efdd4e7c264d562f26d894b'},,,,,1ac8482ff3585084c08b7d9a202950f67faacb91582c45bc5664a5a0af660447,1593693415.7500756,Node 2,Filling quality control,1_1
{'$oid': '5efdd4e7adedbcdd08c6de63'},,,,,1ac8482ff3585084c08b7d9a202950f67faacb91582c45bc5664a5a0af660447,1593693415.7629466,Node 4,Opening quality control,1_1
{'$oid': '5efdd4e7adedbcdd08c6de65'},,,,,1ac8482ff3585084c08b7d9a202950f67faacb91582c45bc5664a5a0af660447,1593693415.7658823,Node 4,Filling quality control,1_1
{'$oid': '5efdd4e712c3abb5eb9094fd'},2.0,1.0,{'d2': 21},1593693415.7718976,5223cb7caa0fe163ba2abcdf265544c9896e60433e3c8fecdf2b59c25b361991,1593693415.773457,Node 3,Transaction initiated,
{'$oid': '5efdd4e712c3abb5eb9094ff'},2.0,1.0,{'d2': 21},1593693415.7718976,5223cb7caa0fe163ba2abcdf265544c9896e60433e3c8fecdf2b59c25b361991,1593693415.7760398,Node 3,Transaction in validated,
{'$oid': '5efdd4e751b80cdcbe2834fc'},2.0,1.0,{'d2': 21},1593693415.7718976,5223cb7caa0fe163ba2abcdf265544c9896e60433e3c8fecdf2b59c25b361991,1593693415.7824957,Node 5,Transaction received,
